Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged
660681059,"Aug 1, 2016, 7:39:11 AM",Hillside and Seaside,Ride,Ceriana-Ospedaletti-Ceriana,8602,47.98,,false,,activities/660681059.gpx,70.30680084228516,,8602.0,7738.0,47988.5,20.799999237060547,,1287.4000244140625,,0.0,423.79998779296875,50.0,0.00916885957121849,,,,,,,,207.2469940185547,1788.1002197265625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665607692,"Aug 5, 2016, 11:16:21 AM",Afternoon Ride,Ride,,6318,24.05,,false,,activities/665607692.gpx,70.30680084228516,,6318.0,5456.0,24055.69921875,11.0,,183.27499389648438,,0.0,30.899999618530273,49.400001525878906,0.0033256199676543474,,,,,,,,74.14129638671875,451.0341491699219,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668917358,"Aug 8, 2016, 10:13:05 AM",Family Ramble,Hike,,12386,7.28,,false,,activities/668917358.gpx,,,12386.0,7790.0,7281.2001953125,2.5999999046325684,,676.9439697265625,,1005.5999755859375,1599.5999755859375,49.70000076293945,-0.4216339886188507,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672126351,"Aug 11, 2016, 6:41:01 AM",Family hike to the beach,Hike,,13496,12.94,,false,,activities/672126351.gpx,,,13496.0,9842.0,12946.599609375,11.5,,123.6449966430664,,5.699999809265137,415.29998779296875,46.29999923706055,-3.0023300647735596,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673284180,"Aug 12, 2016, 8:24:36 AM",Quick trip to the hardware store...,Ride,,10512,40.64,,false,,activities/673284180.gpx,70.30680084228516,,10512.0,7205.0,40642.1015625,12.199999809265137,,1358.239990234375,,1.399999976158142,423.3999938964844,49.79999923706055,0.012548600323498249,,,,,,,,215.322998046875,1729.8134765625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838198181,"Jan 20, 2017, 2:44:13 PM",Bahrain by night. ,Run,,1564,4.86,,false,,activities/838198181.gpx,70.30680084228516,,1564.0,1544.0,4861.7001953125,4.300000190734863,,30.577699661254883,,-2.700000047683716,17.0,17.899999618530273,0.04936540126800537,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904709894,"Mar 4, 2017, 10:26:22 AM",Lunch Run,Run,,2163,2.57,,false,,activities/904709894.gpx,70.30680084228516,,2163.0,1106.0,2574.5,4.0,,10.915399551391602,,898.7999877929688,949.0,19.299999237060547,-1.347830057144165,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943196337,"Apr 15, 2017, 12:13:23 PM",Afternoon Hike,Hike,"A little bit of the Jordan Trail...
",4379,4.61,,false,,activities/943196337.gpx,,,4379.0,3585.0,4609.39990234375,3.700000047683716,,100.7509994506836,,630.7999877929688,669.7000122070312,39.900001525878906,-0.16487999260425568,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960014783,"Apr 27, 2017, 5:23:57 AM",Shouf Hike,Hike,Shouf Biosphere Reserve hike...plus a few extra km...,21107,23.21,,false,,activities/960014783.gpx,,,21107.0,16804.0,23218.599609375,5.800000190734863,,1069.260009765625,,952.0,1903.800048828125,49.29999923706055,0.1584939956665039,,,,,,,,,2005.728515625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026042044,"May 26, 2017, 1:32:45 PM",Afternoon Run,Run,,0,5.05,,false,,activities/1026042044.gpx,70.30680084228516,,0.0,8802.0,5053.7998046875,7.699999809265137,,268.92401123046875,,960.5,1091.800048828125,48.900001525878906,-1.5018399953842163,,,,,,,,,565.0845947265625,,,,,,,,,,,,,,,,0.0,,,6541.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1047460224,"Jun 21, 2017, 2:35:37 PM",Just one more little bit of uphill...,Ride,"",5049,17.30,,false,,activities/1047460224.gpx,70.30680084228516,,5049.0,4695.0,17301.900390625,12.5,,446.2820129394531,,600.0,1072.199951171875,40.400001525878906,-0.8519300222396851,,,,,,,,115.10700225830078,602.5765380859375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048328968,"Jun 22, 2017, 12:33:42 AM",Beer run. ,Ride,"",12250,22.91,,false,,activities/1048328968.gpx,70.30680084228516,,12250.0,3742.0,22915.400390625,11.300000190734863,,218.15499877929688,,492.79998779296875,635.5999755859375,45.400001525878906,0.0026183300651609898,,,,,,,,101.12699890136719,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048937068,"Jun 22, 2017, 1:30:35 PM",Early Morning Wock,Ride,,5295,18.39,,false,,activities/1048937068.gpx,70.30680084228516,,5295.0,5117.0,18393.5,10.399999618530273,,529.3909912109375,,600.0999755859375,1072.199951171875,46.400001525878906,0.005436699837446213,,,,,,,,120.90699768066406,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050475608,"Jun 23, 2017, 2:30:34 PM",Third Wock,Ride,,6987,18.29,,false,,activities/1050475608.gpx,70.30680084228516,,6987.0,5233.0,18298.69921875,10.699999809265137,,521.4450073242188,,600.0999755859375,1072.199951171875,44.79999923706055,-0.007104330230504274,,,,,,,,113.88300323486328,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052496924,"Jun 24, 2017, 9:27:19 PM",Up and around,Ride,,8673,35.70,,false,,activities/1052496924.gpx,70.30680084228516,,8673.0,8026.0,35702.1015625,13.199999809265137,,609.198974609375,,585.4000244140625,1498.0,45.099998474121094,-1.1150599718093872,,,,,,,,91.956298828125,822.916015625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053629833,"Jun 25, 2017, 1:54:01 PM",White Rabbit,Ride,,5922,17.79,,false,,activities/1053629833.gpx,70.30680084228516,,5922.0,5379.0,17791.5,14.5,,542.1810302734375,,579.0,1072.199951171875,23.0,0.002248259959742427,,,,,,,,97.69200134277344,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
